,DBA Name,Street Address,Yelp_Name,Yelp ID,Price Level,Rating,Review Count,Categories,Is Closed,Yelp_Address
0,Little Kite,3515 20th St,Little Kite,5vSccOaQTqnHtk-gMaTf1w,$$,3.5,49,Japanese,TRUE,3515 20th St
4,Sultan's Kebab,3915 24th St,Sultan's Kebab,fP-g6sjD42R7FCH8jESG_A,$$,3.5,92,Mediterranean,FALSE,3915 24th St
30,Turk & Larkin Deli,476 Turk St,Turk & Larkin Deli,b1Y_BNGcGuH07N3GV9bPHg,$,4.5,107,Delis,TRUE,476 Turk St
36,Cha Cha Cha Restaurant,1801 Haight St,Cha Cha Cha,kOYj2sGMZnyC1lU-_Uw5fA,$$,4,3212,Caribbean,FALSE,1801 Haight St
47,Daily Health,1235 9th Ave,Daily Health Food Center,jSvO1fZzAh0X9q2zxtSZQQ,$$,4,89,Health Markets,TRUE,1235 9th Ave
48,Grasslands,905 Kearny St,Grasslands Bar & Lounge,BcADcyvlFTIjeVG7R70RKA,$,3.5,81,Bars,FALSE,905 Kearny St
51,Cheese Steak Shop The,1716 Divisadero St,The Cheese Steak Shop,RJjuozKTsgwPNa429tnxbg,$$,4,912,Sandwiches,FALSE,1716 Divisadero St
53,Bills Place,2315 Clement St,Bill's Place,Gi15y5zxXg5yzcb-YqYg2Q,$$,3.5,738,Burgers,FALSE,2315 Clement St
57,Connecticut Yankee,100 Connecticut St,Connecticut Yankee,CP2uHH8PQ-Wg3i5C8-Lidg,$$,3.5,499,Sports Bars,FALSE,100 Connecticut St
59,Eddies Cafe,800 Divisadero St,Eddie's Cafe,V6JS0EaR0Gq_SSDllaOqKw,$,4,626,Breakfast & Brunch,FALSE,800 Divisadero St
60,Jj Ice Cream,1152 Irving St,Let's Roll Ice Creamery,ow9SMnRPPyYKva4KGthwrQ,$,4,275,Ice Cream & Frozen Yogurt,FALSE,1152 Irving St
62,Om Indian Cuisine,1668 Haight St,Om Indian Cuisine,ZvIpOP6cWfZWHLKdNAvfOg,$$,4,290,Indian,FALSE,1668 Haight St
75,Babys Eatery & Palabok,4609 Mission St,Baby's Eatery and Palabok,NLc5sKgqHcH95qMoCGikJg,$,4,86,Filipino,FALSE,4609 Mission St
76,Garibaldis On Presidio,347 Presidio Ave,Garibaldi's,p6bLw7PS63Kbge_wyIOP8w,$$$,4,536,American (New),FALSE,347 Presidio Ave
81,Golden Coffee,901 Sutter St,Golden Coffee Shop,rBwyayyqFMD8chqenrRxag,$,4,480,Breakfast & Brunch,FALSE,901 Sutter St
82,Reinas Restaurant,5479 Mission St,Reinas Restaurant,YqYNt-kyPz9ljjeBDYSsPg,$,3.5,132,Salvadoran,FALSE,5479 Mission St
85,Mikado Sushi Restaurant,1684 Bryant St,Mikado Sushi,HyK-xSMvML7-ksp4_7fpUA,$$,3,374,Japanese,FALSE,1684 Bryant St
88,College Market,995 Ellis St,College Market,KjyMNpNb7wBeszJLQF5-RA,$$,4,24,Grocery,FALSE,995 Ellis St
100,Golden Island Cafe,1300 Noriega St,Golden Island Cafe,RmSm5ps0zgYer9xxApBVrQ,$,3.5,841,Desserts,FALSE,1300 Noriega St
102,Wok Shop Cafe,1307 Sutter St,Wok Shop Cafe,KIK0Frk34Bi99FbNxQNMmQ,$,4,594,Chinese,FALSE,1307 Sutter St
103,Lawrence Bakery Cafe,2290 Mission St,Lawrence Bakery Cafe,LQ_Wx3meZKdG086NsK_bRA,$,4.5,9,Bakeries,TRUE,2290 Mission St
105,India Clay Oven Restaurant/bar,2436 Clement St,India Clay Oven,800bnSbI4mdJsix1Ulp08g,$$,3.5,690,Indian,FALSE,2436 Clement St
106,Clement Street Bar & Grill,708 Clement St,Heritage Restaurant & Bar,J9UxQxX91mgYF7c2HqRAsA,$$,4,192,American (New),FALSE,708 Clement St
112,Jardiniere Restaurant,300 Grove St,Jardiniere,inVsc1turxk_OpM9E2Q1Rw,$$$$,4,1652,French,TRUE,300 Grove St
114,Coffee Cabin,899 Hyde St,Crostini & Java,SZs2L7N1tNSsFEdbdEvcdw,$$,5,147,Coffee & Tea,FALSE,899 Hyde St
118,The Cake House,5169 Mission St,The Cake House,kDsLT0xa35As5e3H9KyZ5w,$$,4.5,19,Custom Cakes,TRUE,5169 Mission St
119,El Beach Burrito,3914 Judah St,El Beach Burrito,DDHAkjcXk7sl-Rda9u8XDA,$,2.5,267,Mexican,TRUE,3914 Judah St
120,New Moon Restaurant,1247 Stockton St,New Moon,22hz8_Oby4n38vJ4h8ENBA,$,3.5,47,Dim Sum,FALSE,1247 Stockton St
121,E & O Trading Company,314 Sutter St,E&O Kitchen and Bar,if7l8HVMz7kmW0tG9l2LQA,$$,4,1043,Asian Fusion,FALSE,314 Sutter St
122,E & O Asian Kitchen,314 Sutter St,E&O Kitchen and Bar,if7l8HVMz7kmW0tG9l2LQA,$$,4,1043,Asian Fusion,FALSE,314 Sutter St
123,Hoy Sun Restaurant,2520 San Bruno Ave,Dim Sum Kitchen,6HvY8EnovnQEsEWNEE9UBw,$$,3,41,Dim Sum,FALSE,2520 San Bruno Ave
127,Original Mccarthys,2327 Mission St,Cha Cha Cha,QH8WwAYdr3NrH2QwHiPjog,$$,3.5,1948,Bars,FALSE,2327 Mission St
134,Bazaar Cafe,5927 California St,Bazaar Cafe,aB_jimByFRPpde3LC13ucw,$,4,308,Coffee & Tea,FALSE,5927 California St
138,Nan King Road Bistro,1360 9th Ave,Nan King Road Bistro,4De0iMwSPF2aJ_QGTye4TQ,$$,4,600,Chinese,TRUE,1360 9th Ave
145,Alfred's Steakhouse,659 Merchant St,Alfred's Steakhouse,#NAME?,$$$,3.5,676,Steakhouses,TRUE,659 Merchant St
146,Sanppo Restaurant,1702 Post St,Sanppo Restaurant,wAPk6QJV6NtXxNQgSd1dkA,$$,3,374,Japanese,FALSE,1702 Post St
149,Delicious Dim Sum,752 Jackson St,Delicious Dim Sum,Fo5Wscbb9rwcLuaO-sc2zQ,$,4,947,Dim Sum,FALSE,752 Jackson St
153,All Season Sushi,524 Castro St,Wasabi Bistro,bm7sU0_SNY0k2ZX65YqTsA,$$,4,453,Sushi Bars,FALSE,524 Castro St
160,G And R Market,2601 Sutter St,Gr Market & Deli,IzWu4dCs_cIZcqvHxGwO9A,$$,3.5,6,Grocery,FALSE,2601 Sutter St
161,Fly,762 Divisadero St,Fly Bar,8MMhiZdt1QD4r8os_hKEvg,$$,4,748,Bars,FALSE,762 Divisadero St
163,Hawaiian Drive Inn #28,4827 Mission St,Hawaiian Drive Inn,yEn0YT1wMC6hR7CVRX956w,$,4,360,Hawaiian,FALSE,4827 Mission St
165,Lovejoy's Tea Room & Antiques,1351 Church St,Lovejoy's Attic,YN_Fm4paIod5jpnaAXATtQ,$$,4.5,46,Tea Rooms,FALSE,1351 Church St
173,New Sweetheart Bakery,2956 24th St,New Sweetheart Bakery,N1hqh6abqCF2YJ81I4J3Xw,$,4.5,17,Bakeries,TRUE,2956 24th St
180,Thanh Thanh,2205 Clement St,Thanh Thanh Cafe,vfYfuqFDRKU4TqChasaHFA,$,3.5,166,Vietnamese,FALSE,2205 Clement St
191,Gambinos,1 Embarcadero Ctr,Gambino's New York Subs,SOiTMmkT36gjyEIRra9vNw,$,3.5,286,Sandwiches,FALSE,1 Embarcadero Ctr
209,La Loma Produce #8,2840 Mission St,La Loma Produce No 8,UdEsMHA4MlJyCLPDCubNoQ,$,4,12,Grocery,FALSE,2840 Mission St
