DBA Name,Street Address,Yelp Name,Price Level,Rating,Review Count,Top Yelp Category,Is Closed,Yelp Address,Zipcode,Neighborhood
Sultan's Kebab,3915 24th St,Sultan's Kebab,$$,3.5,92,Mediterranean,FALSE,3915 24th St,94114,
Turk & Larkin Deli,476 Turk St,Turk & Larkin Deli,$,4.5,107,Delis,TRUE,476 Turk St,94102,Tenderloin
Cha Cha Cha Restaurant,1801 Haight St,Cha Cha Cha,$$,4,3212,Caribbean,FALSE,1801 Haight St,94117,Haight Ashbury
Daily Health,1235 9th Ave,Daily Health Food Center,$$,4,89,Health Markets,TRUE,1235 9th Ave,94122,Inner Sunset
Grasslands,905 Kearny St,Grasslands Bar & Lounge,$,3.5,81,Bars,FALSE,905 Kearny St,94133,Chinatown
Cheese Steak Shop The,1716 Divisadero St,The Cheese Steak Shop,$$,4,912,Sandwiches,FALSE,1716 Divisadero St,94115,Pacific Heights
Bills Place,2315 Clement St,Bill's Place,$$,3.5,738,Burgers,FALSE,2315 Clement St,94121,Outer Richmond
Eddies Cafe,800 Divisadero St,Eddie's Cafe,$,4,626,Breakfast & Brunch,FALSE,800 Divisadero St,94117,Western Addition
Jj Ice Cream,1152 Irving St,Let's Roll Ice Creamery,$,4,275,Ice Cream & Frozen Yogurt,FALSE,1152 Irving St,94122,Inner Sunset
Babys Eatery & Palabok,4609 Mission St,Baby's Eatery and Palabok,$,4,86,Filipino,FALSE,4609 Mission St,94112,Excelsior
Reinas Restaurant,5479 Mission St,Reinas Restaurant,$,3.5,132,Salvadoran,FALSE,5479 Mission St,94112,Excelsior
Mikado Sushi Restaurant,1684 Bryant St,Mikado Sushi,$$,3,374,Japanese,FALSE,1684 Bryant St,94103,Mission
College Market,995 Ellis St,College Market,$$,4,24,Grocery,FALSE,995 Ellis St,94109,Western Addition
Lawrence Bakery Cafe,2290 Mission St,Lawrence Bakery Cafe,$,4.5,9,Bakeries,TRUE,2290 Mission St,94110,Mission
India Clay Oven Restaurant/bar,2436 Clement St,India Clay Oven,$$,3.5,690,Indian,FALSE,2436 Clement St,94121,Outer Richmond
Jardiniere Restaurant,300 Grove St,Jardiniere,$$$$,4,1652,French,TRUE,300 Grove St,94102,Hayes Valley
Coffee Cabin,899 Hyde St,Crostini & Java,$$,5,147,Coffee & Tea,FALSE,899 Hyde St,94102,
El Beach Burrito,3914 Judah St,El Beach Burrito,$,2.5,267,Mexican,TRUE,3914 Judah St,94122,
E & O Trading Company,314 Sutter St,E&O Kitchen and Bar,$$,4,1043,Asian Fusion,FALSE,314 Sutter St,94108,Financial District/South Beach
E & O Asian Kitchen,314 Sutter St,E&O Kitchen and Bar,$$,4,1043,Asian Fusion,FALSE,314 Sutter St,94108,
Hoy Sun Restaurant,2520 San Bruno Ave,Dim Sum Kitchen,$$,3,41,Dim Sum,FALSE,2520 San Bruno Ave,94134,Portola
Original Mccarthys,2327 Mission St,Cha Cha Cha,$$,3.5,1948,Bars,FALSE,2327 Mission St,94110,
Nan King Road Bistro,1360 9th Ave,Nan King Road Bistro,$$,4,600,Chinese,TRUE,1360 9th Ave,94122,
Delicious Dim Sum,752 Jackson St,Delicious Dim Sum,$,4,947,Dim Sum,FALSE,752 Jackson St,94133,
All Season Sushi,524 Castro St,Wasabi Bistro,$$,4,453,Sushi Bars,FALSE,524 Castro St,94114,Castro/Upper Market
G And R Market,2601 Sutter St,Gr Market & Deli,$$,3.5,6,Grocery,FALSE,2601 Sutter St,94115,Presidio Heights
Fly,762 Divisadero St,Fly Bar,$$,4,748,Bars,FALSE,762 Divisadero St,94117,Hayes Valley
Lovejoy's Tea Room & Antiques,1351 Church St,Lovejoy's Attic,$$,4.5,46,Tea Rooms,FALSE,1351 Church St,94114,Noe Valley
New Sweetheart Bakery,2956 24th St,New Sweetheart Bakery,$,4.5,17,Bakeries,TRUE,2956 24th St,94110,Mission
Thanh Thanh,2205 Clement St,Thanh Thanh Cafe,$,3.5,166,Vietnamese,FALSE,2205 Clement St,94121,Outer Richmond
Gambinos,1 Embarcadero Ctr,Gambino's New York Subs,$,3.5,286,Sandwiches,FALSE,1 Embarcadero Ctr,94111,
Jitra Thai Cuisine,2545 Ocean Ave,Ocean Thai,$$,4,120,Thai,FALSE,2545 Ocean Ave,94132,West of Twin Peaks
Little Paris Coffee Shop,1131 Stockton St,Little Paris,$,3,95,Vietnamese,FALSE,1131 Stockton St,94108,Chinatown
Blossom Bakery,133 Waverly Pl,Blossom Bakery,$,4,27,Coffee & Tea,FALSE,133 Waverly Pl,94108,Chinatown
Lemongrass,2348 Polk St,Lemon Grass Thai Cuisine,$$,3.5,558,Thai,FALSE,2348 Polk St,94109,Russian Hill
Valley Tavern,4054 24th St,Valley Tavern,$$,4,305,Pubs,FALSE,4054 24th St,94114,Noe Valley
Big Joe's,717 Monterey Blvd,Big Joe's,$$,4,498,Breakfast & Brunch,FALSE,717 Monterey Blvd,94127,West of Twin Peaks
Nectar Wine Lounge,3330 Steiner St,Nectar Wine Lounge,$$,4,478,Wine Bars,TRUE,3330 Steiner St,94123,
Youngs Restaurant,601 Kearny St,Young's Cafe,$,3.5,108,Chinese,TRUE,601 Kearny St,94108,Chinatown
Boos Voni,5170 Mission St,Tortas Boos Voni,$,4,148,Mexican,FALSE,5170 Mission St,94112,Outer Mission
Bacchus Kirk,925 Bush St,Bacchus Kirk,$$,4,235,Dive Bars,TRUE,925 Bush St,94109,
Bello Coffee & Tea,2885 Diamond St,Bello Coffee & Tea,$,4,357,Coffee & Tea,FALSE,2885 Diamond St,94131,Glen Park
Jenny & Jesse Restaurante,3322 Mission St,El Paisa Restaurante-Jenny & Jesse,$$,4,68,Latin American,FALSE,3322 Mission St,94110,Bernal Heights
El Paisa Restaurant,3322 Mission St,El Paisa Restaurante-Jenny & Jesse,$$,4,68,Latin American,FALSE,3322 Mission St,94110,Bernal Heights
Brickhouse Cafe,426 Brannan St,Brickhouse Cafe,$$,3.5,1162,American (Traditional),FALSE,426 Brannan St,94107,South of Market
Asa Sushi,2365 Chestnut St,Wago sushi,$$,4,77,Sushi Bars,FALSE,2365 Chestnut St,94132,Marina
Haight & Cole Liquors,1699 Haight St,Haight & Cole Liquors,$,4.5,13,"Beer, Wine & Spirits",FALSE,1699 Haight St,94117,Haight Ashbury
Garcon,1101 Valencia St,Garçon,$$$,3.5,804,French,TRUE,1101 Valencia St,94110,Mission
Sidewalk Juice Bar,3287 21st St,Sidewalk Juice,$,4,312,Juice Bars & Smoothies,FALSE,3287 21st St,94110,Mission
Alembic,1725 Haight St,The Alembic,$$,4,1674,Bars,FALSE,1725 Haight St,94117,Haight Ashbury
Alembic Bar,1725 Haight St,The Alembic,$$,4,1674,Bars,FALSE,1725 Haight St,94117,Haight Ashbury
The Alembic,1725 Haight St,The Alembic,$$,4,1674,Bars,FALSE,1725 Haight St,94117,Haight Ashbury
Genki Ramen,3944 Geary Blvd,Genki Ramen,$$,3.5,1429,Tapas/Small Plates,TRUE,3944 Geary Blvd,94118,Inner Richmond
Zaytoon,1136 Valencia St,Zaytoon Mediterranean,$,4,282,Middle Eastern,TRUE,1136 Valencia St,94110,Mission
Pissed Off Petes,4528 Mission St,Recovery Room,$,4.5,33,Sports Bars,FALSE,4528 Mission St,94112,Outer Mission
Nickies,466 Haight St,Nickies,$$,4,421,Sports Bars,FALSE,466 Haight St,94117,Hayes Valley
Chopstick Fast Food,4615 Mission St,Chopsticks,$,4,95,Chinese,FALSE,4615 Mission St,94112,Excelsior
Chatz Coffee Shop,215 2nd St,Chatz Coffee Shop,$,3.5,20,Coffee & Tea,FALSE,215 2nd St,94105,
The Bagel Bakery,151 Townsend St,The Bagel Bakery,$,4,242,Bagels,FALSE,151 Townsend St,94107,
Davies Symphony,201 Van Ness Ave,Davies Symphony Hall,$$$,4.5,282,Performing Arts,FALSE,201 Van Ness Ave,94102,
San Francisco Opera House,301 Van Ness Ave,War Memorial Opera House,No record in Yelp,4,179,Performing Arts,FALSE,301 Van Ness Ave,94102,
Davies Symphony - Lodge Level,201 Van Ness Ave,Davies Symphony Hall,$$$,4.5,282,Performing Arts,FALSE,201 Van Ness Ave,94102,
Herbst Theater,401 Van Ness Ave,Herbst Theatre,No record in Yelp,4,97,Performing Arts,FALSE,401 Van Ness Ave,94102,
Wins Restaurant,3040 Taraval St,Win's Restaurant,$,3.5,213,Chinese,FALSE,3040 Taraval St,94116,Sunset/Parkside
Slow Club,2501 Mariposa St,The Morris,$$$,4.5,239,American (New),FALSE,2501 Mariposa St,94110,Mission
Ha Nam Ninh Restaurant,701 Larkin St,Ha Nam Ninh,$,3.5,301,Vietnamese,FALSE,701 Larkin St,94109,Tenderloin
Internos Wine Cafe,3240 Geary Blvd,Internos Wine Cafe,$$,4,236,Wine Bars,FALSE,3240 Geary Blvd,94118,Presidio Heights
There Sushi-Bar & Restaurant,393 Bay St,There Sushi Bar & Restaurant,$$,3.5,78,Sushi Bars,TRUE,393 Bay St,94133,
Mokis Sushi And Pacific Grill,615 Cortland Ave,Moki's Sushi & Pacific Grill,$$,4,463,Sushi Bars,FALSE,615 Cortland Ave,94110,Bernal Heights
Jade Garden,3608 Balboa St,Jade Garden,$,3.5,96,Chinese,TRUE,3608 Balboa St,94121,Outer Richmond
Schilling & Co,667 Commercial St,Schilling & Co,$,3.5,58,American (New),FALSE,667 Commercial St,94111,
Isa Restaurant,3324 Steiner St,Isa Restaurant,$$$,4,2034,French,FALSE,3324 Steiner St,94123,Marina
