,Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,LIC Code,LIC Code Description,Supervisor District,Neighborhoods - Analysis Boundaries
0,1157686-08-171,1074591,Alice Ho,Little Kite,3515 20th St,San Francisco,CA,94110.0,8/10/17,12/31/18,8/10/17,12/31/18,,,,,H26,,,
1,1090504-08-161,1043060,Lai Junwen,Chase Luck Bakery,1325 Ocean Ave,San Francisco,CA,94112.0,8/18/16,12/25/16,8/18/16,12/25/16,,,,,,,,
2,1142723-04-171,1039498,Communion Inc,Communion Juice,103 Horne Ave Bldg,San Francisco,CA,94124.0,7/13/16,1/1/17,4/1/17,1/1/17,,,,,,,,
3,1125254-10-161,1059484,Tian Qiyuan,One +,166 Prague St,San Francisco,CA,94112.0,10/12/16,5/14/19,10/26/16,5/14/19,,,,,H98,,,
4,1179680-02-181,1083854,Famus,Sultan's Kebab,3915 24th St,San Francisco,CA,94114.0,2/20/18,3/31/19,2/20/18,3/31/19,,,,,H24,,,
5,1178245-02-181,1083278,Miao Wu,T Bear Cafe,57 Walter U Lum Pl,San Francisco,CA,94108.0,2/6/18,8/30/18,2/6/18,8/30/18,,,,,H24,,,
6,1086988-08-161,1041358,Stephanie Frias,Flip Dough,1450 Cayuga Ave,San Francisco,CA,94112.0,8/1/16,4/16/18,8/1/16,4/16/18,,,,,,,11.0,Outer Mission
7,1150798-06-171,1072040,Lena Encz,Brotzeit,1223 Kearny St Apt 1,San Francisco,CA,94133.0,6/17/17,6/19/17,6/18/17,6/19/17,,,,,,,3.0,North Beach
8,1154477-07-171,1073387,Candi Me Llc,Candi Me,3520 20th St Ste 1,San Francisco,CA,94110.0,7/17/17,12/22/18,7/17/17,12/22/18,,,,,H07,,9.0,Mission
9,0004965-02-001,4965,Solis Benito S,Sb40,40 Pier The Embarcadero,San Francisco,CA,94107.0,10/1/68,4/30/17,2/22/11,4/30/17,,,,,,,,
10,0004965-03-001,4965,Solis Benito S,Sb40/carmens,40 Pier The Embarcadero,San Francisco,CA,94107.0,10/1/68,4/30/17,3/22/12,4/30/17,,,,,,,,
11,0015460-02-001,15460,Harman Jose & Wendy Inc,Kentucky Fried Chicken,1900 Irving St,San Francisco,CA,94122.0,10/1/68,9/28/16,10/1/68,9/28/16,,,,,,,,
