DBA Name,Street Address,Yelp Name,Yelp ID,Price Level,Rating,Review Count,Categories,Is Closed,Yelp Address
Little Kite,3515 20th St,Little Kite,5vSccOaQTqnHtk-gMaTf1w,$$,3.5,49,Japanese,TRUE,
Chase Luck Bakery,1325 Ocean Ave,Pacificana,soidt7z5ZnIxO6nBx2F2UQ,$$,3.5,335,Dim Sum,FALSE,813 55th St
Communion Juice,103 Horne Ave Bldg,Humphry Slocombe Ice Cream,47OC_X6KkiDDQ4jwoCUjFg,$,4,3359,Ice Cream & Frozen Yogurt,FALSE,2790A Harrison St
One +,166 Prague St,One Waan,W_2rcLj-vDAa7tUixhz0eQ,$$,4,228,Thai,FALSE,2922 Diamond St
Sultan's Kebab,3915 24th St,Sultan's Kebab,fP-g6sjD42R7FCH8jESG_A,$$,3.5,92,Mediterranean,FALSE,3915 24th St
T Bear Cafe,57 Walter U Lum Pl,Caffe Trieste,j9EVcmunMUIFut_EpsYrog,$,4,681,Cafes,FALSE,601 Vallejo St
Flip Dough,1450 Cayuga Ave,Little Joe's Pizzeria,tpKQsdpEQWEW4mzkKRUCEg,$$,3.5,274,Italian,FALSE,5006 Mission St
Brotzeit,1223 Kearny St Apt 1,Brotzeit Lokal,5Yum0s_u1lorpsRRVIsa7w,$$,3.5,525,German,FALSE,1000 Embarcadero
Candi Me,3520 20th St Ste 1,Candi Me,rjFY9ZOhlt1Cdo3U7x2nmQ,$$,5,17,Candy Stores,TRUE,3520 20th St
Sb40,40 Pier The Embarcadero,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Sb40/carmens,40 Pier The Embarcadero,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Kentucky Fried Chicken,1900 Irving St,KFC,TPSsOoSGQev7xUuGPkzJjg,$,2.5,80,Fast Food,FALSE,4150 Geary Blvd
Lucca Ravioli Co Inc,1100 Valencia St,Rainbow Grocery,5NvXIkNdCCqUb235WVfMJg,$$,4,1600,Grocery,FALSE,1745 Folsom St
Pompeis Grotto,340 Jefferson St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Sams,618 Broadway St,Sam's Hofbrau,LOWXukQT7GiKxpCrpQ562A,$$,3.5,290,Strip Clubs,FALSE,1751 E Olympic Blvd
Tarantinos Inc,206 Jefferson St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Aedan,3617 Wawona St,Aedan Fermented Foods,WNwF7FX55qTj_Hrxixb9xQ,No record in Yelp,5,5,Farmers Market,FALSE,1 Ferry Bldg
Aedan,1 Ferry Bldg  50,Aedan Fermented Foods,WNwF7FX55qTj_Hrxixb9xQ,No record in Yelp,5,5,Farmers Market,FALSE,1 Ferry Bldg
3300 Club,3300 Mission St,Outer Orbit,HY0nszHyRTgGRLX0FI0AqA,$$,4.5,76,Arcades,FALSE,3215 Mission St
Lion Pub The,2062 Divisadero St,The Fishbowl Bar & Grill,qMoaAv2WUAybwx-bOxCc5w,$,3.5,259,Pubs,FALSE,1854 Divisadero St
Dominguez Mexican Bakery,2951 24th St,La Palma Mexicatessen,bNvaWa9wSLHjlFlrD7i9Ow,$,4.5,637,Mexican,FALSE,2884 24th St
Covered Wagon Hotel,800 Moscow St,Painted Ladies Tour Company,JRS7vgulRdFBhmT1cxGzrQ,No record in Yelp,5,194,Bus Tours,FALSE,"San Francisco, CA 94102"
Simple Espresso,1133 1/2 Shotwell St,Four Barrel Coffee,E8RJkjfdcwgtyoPMjQ_Olg,$,4,2084,Coffee & Tea,FALSE,375 Valencia St
Cathay House,718 California St,Dim Sum Corner,UrlIkoy5MySVMKY30bid1w,$$,3.5,117,Dim Sum,FALSE,601 Grant Ave
Liverpool Lils Restaurant,2942 Lyon St,Pizzeria Avellino,YGdCt1nVHcQCCDVCCRmS6A,$,3.5,335,Pizza,FALSE,2769 Lombard St
Peter D's Restaurant,2201 Van Ness Ave,Beach Street Grill Restaurant,nY3qsB75yCrOiTZcsrzFDw,$$,4,463,American (Traditional),FALSE,380 Beach St
Pac Cafe,7000 Geary Blvd,Breadbelly,w3mpnxz64nU8VwHDLz3S6g,$$,4.5,175,Bakeries,FALSE,1408 Clement St
Hunan Restaurant,924 Sansome St,Hunan Home's Restaurant,cHoNUKltOAJWSmNfsZ1h-w,$$,4,2147,Chinese,FALSE,622 Jackson St
Hunan Restaurant,1016 Bryant St,Hunan Springs Chinese Restaurant,OH-E-ifykNpKRX0ibZSZNA,$$,4,154,Chinese,FALSE,4939 Hamilton Blvd
Mifune Restaurant,1737 Post St,Mifune Don,KiQuvELzKiHx5qg3RWaoxg,$$,3.5,447,Japanese,FALSE,22 Peace Plz
Turk & Larkin Deli,476 Turk St,Turk & Larkin Deli,b1Y_BNGcGuH07N3GV9bPHg,$,4.5,107,Delis,TRUE,476 Turk St
Twilight Cafe,2600 Mcallister St,Twilight Cafe,iRittrE0Pld2u3Vq_lxC_Q,$,4,115,Middle Eastern,TRUE,2600 McAllister St
2600 Mcallister St Apts,2600 Mcallister St,Valerie Lee Landlord,PekmDZ8HKlw4DNSC75Dweg,No record in Yelp,2.5,8,Apartments,FALSE,1153 Mission St
Las Margaritas Restaurant,2801 Leavenworth St,La Negra - Margarita,nAy3EubnPkAXHaIpTieOzA,No record in Yelp,5,1,Local Flavor,FALSE,Bahia Way
Blooms Saloon,1318 18th St,Maggiano's Little Italy,Kx_d7X7qjj9EoX-A7eC3gA,$$,4,1844,Italian,FALSE,189 The Grove Dr
Blondies Pizza,63 Powell Street,Pinocchios Pizza & Subs,4y49CSzDlkZB7nkyViZuzg,$,4,692,Pizza,FALSE,74 Winthrop St
Cha Cha Cha Restaurant,1801 Haight St,Cha Cha Cha,kOYj2sGMZnyC1lU-_Uw5fA,$$,4,3212,Caribbean,FALSE,1801 Haight St
Viva Pizza Restaurant,318 Columbus Ave,Viva Italiano,QNp4QCGLcZleShFRCt8xgw,$$,3,350,Pizza,FALSE,67 Bill Drake Way
Estia Restaurant,1224 Grant Ave,North Beach Gyros,Bkwx7HCySzJVJN3JoZRU1w,$$,4,350,Mediterranean,FALSE,701 Union St
Greco Roman Catering,316 Columbus Ave,Floral Terrace,IbfwuSsrgMcKu03uZpuMcw,No record in Yelp,4,51,Caterers,FALSE,250 Jericho Tpke
Damian Produce,3024 San Bruno Ave B,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Goza Goza Taco,3024 San Bruno Ave #B,Goza Goza Taco Truck,1igintKDjjeozmBV6Y3zQQ,$,4,24,Food Trucks,FALSE,Townsend St & 5th St
Venetian Deli & Cafe,882 Sutter St,Limoncello,2hGIxgprREdBieylltWaRQ,$$,5,823,Sandwiches,FALSE,1400 Sutter St
Pacific Business Machines,882 Sutter St,KBA Docusys,_cgqRlsZeq21Lj4-sq1QWA,$,4,31,IT Services & Computer Repair,FALSE,49 Stevenson St
Albertos Food Market,882 Sutter St,Tropisueno,_EncdQezAzcShATMFXL0dA,$$,4,4405,Cocktail Bars,FALSE,75 Yerba Buena Ln
Sun Kwong Restaurant,1400 Jackson St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Sushi Boat Restaurant,389 Geary St,Floating Sushi Boat,2fEhhQjUHVmbN15OyeyAqg,$$,2,312,Conveyor Belt Sushi,FALSE,700 Grant Ave
Daily Health,1235 9th Ave,Daily Health Food Center,jSvO1fZzAh0X9q2zxtSZQQ,$$,4,89,Health Markets,TRUE,1235 9th Ave
Grasslands,905 Kearny St,Grasslands Bar & Lounge,BcADcyvlFTIjeVG7R70RKA,$,3.5,81,Bars,FALSE,905 Kearny St
South Park Cafe Inc,108 Park St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Golden Boy Pizza,4531 Mission St,Golden Boy Pizza,PTFxtXS47ZVRCdZIrEWvGw,$,4.5,3471,Pizza,FALSE,542 Green St
Cheese Steak Shop The,1716 Divisadero St,The Cheese Steak Shop,RJjuozKTsgwPNa429tnxbg,$$,4,912,Sandwiches,FALSE,1716 Divisadero St
Shangrila Vegetarian Restrnt,2026 Irving St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Bills Place,2315 Clement St,Bill's Place,Gi15y5zxXg5yzcb-YqYg2Q,$$,3.5,738,Burgers,FALSE,2315 Clement St
Un Poco Di Tuto Bakery,1265 Battery St,Trattoria La Siciliana,vxHYA9vBoLqsvWyslQcE0A,$$,3.5,1435,Italian,FALSE,2993 College Ave
Il Fornaio Gastronomia Rest,1265 Battery St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Chung King Restaurant,606 Jackson St,Bombay Chopsticks By India House,_Ags4Z_wH7Q_R0V7QD9Ygw,$$,3,530,Indian,FALSE,721 W Golf Rd
Connecticut Yankee,100 Connecticut St,Connecticut Yankee,CP2uHH8PQ-Wg3i5C8-Lidg,$$,3.5,499,Sports Bars,FALSE,100 Connecticut St
Piccolo Pete,2155 Bay Shore Blvd,Piccolo Petes Cafe,FzLd7AAQ0iDmNCdrie3P1Q,$,5,262,Coffee & Tea,TRUE,2155 Bayshore Blvd
Eddies Cafe,800 Divisadero St,Eddie's Cafe,V6JS0EaR0Gq_SSDllaOqKw,$,4,626,Breakfast & Brunch,FALSE,800 Divisadero St
Jj Ice Cream,1152 Irving St,Let's Roll Ice Creamery,ow9SMnRPPyYKva4KGthwrQ,$,4,275,Ice Cream & Frozen Yogurt,FALSE,1152 Irving St
Dillers Deli,348 Pine St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Om Indian Cuisine,1668 Haight St,Om Indian Cuisine,ZvIpOP6cWfZWHLKdNAvfOg,$$,4,290,Indian,FALSE,1668 Haight St
Dave's,29 3rd St,Dave's New York,B7mqtE-bJNm0Gen88YCiqw,No record in Yelp,4.5,78,Men's Clothing,FALSE,581 Ave Of The Americas
Kappa Restaurant,1700 Post St K,OzaOza,Y96P7pYNYya_bP-Ogun-0w,$$$$,4.5,107,Japanese,FALSE,1700 Post St
Caffe Roma Coffee Roasting Co,526 Columbus Ave,Caffé Vittoria,63DvXSks1tHIDajOGvwnRQ,$,4,924,Coffee & Tea,FALSE,296 Hanover St
Yancys Saloon,736 Irving St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Shiki,251 3rd St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Sushi Chef Training Center,251 3rd St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Sushiclub.com,71 5th St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Sushi Club,71 5th St,West End Johnnies,G4enu8vxbQk4h_2Cd3TEgA,$$,3,310,American (Traditional),FALSE,138 Portland St
Neway Investment,71 5th St,Tatte Bakery & Cafe,K48RyUD_dYWfknfS9h0Fwg,$$,3.5,379,Coffee & Tea,FALSE,1288 Massachusetts Ave
Jacks Bar,2801 Leavenworth St #J31-32,The Red Jack Saloon,ndWOt4-xn82FH5-GP_EF4w,$,4,252,Sports Bars,FALSE,131 Bay St
Beach St Bar,2801 Leavenworth St #J31-32,Black Magic Voodoo Lounge,uA6jOVyeAXR8juuNqU_m9A,$,4,173,Dive Bars,FALSE,1400 Lombard St
Jacks Cannery,2801 Leavenworth St,Blue Mermaid Restaurant,YQjAeNqo9V8Xw_ECSj7eHQ,$$,3.5,801,Seafood,FALSE,495 Jefferson St
Babys Eatery & Palabok,4609 Mission St,Baby's Eatery and Palabok,NLc5sKgqHcH95qMoCGikJg,$,4,86,Filipino,FALSE,4609 Mission St
Garibaldis On Presidio,347 Presidio Ave,Garibaldi's,p6bLw7PS63Kbge_wyIOP8w,$$$,4,536,American (New),FALSE,347 Presidio Ave
Burger King,4780 Mission St,Burger King,ImUbqHAIdTJ8xmwJLeU2Zw,$,1.5,39,Burgers,FALSE,4780 Mission Street
Kenny's Restaurant,518 Van Ness Ave,Kenny's Cafe,#NAME?,$$,4,187,Chinese,FALSE,640 Crespi Dr
Caffe Delle Stelle,395 Hayes St,a Mano,XhJ6ZYagcWNHpJ1H1KvNlQ,$$,4,859,Italian,FALSE,450 Hayes St
4739 Mission St Building,4739 Mission St,The Mission,X9tz5u205a4YgnGHr9_JSA,No record in Yelp,4,148,Local Flavor,FALSE,"San Francisco, CA 94110"
