DBA Name,Street Address,Yelp Name,Yelp ID,Price Level,Rating,Review Count,Categories,Is Closed,Yelp Address
Soma Fresh Meat And Deli,1000 Howard St,,,,,,,,
Eat Drink & Laugh,460551,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Purple Kow,3620 Balboa St,Purple Kow,wBvDeIMjm_bq7dfyyusAwg,$,3.5,2344,Coffee & Tea,False,3620 Balboa St
Banh Mi King,180 Howard St Ste G2,Banh Mi King,AlE1Ky-5yTAStPmry6pUeQ,No record in Yelp,4.0,41,Vietnamese,False,180 Howard St
Ambrosia Catering Company,2948 Folsom St,Cuisine of Nepal,iUockw0CUssKZLyoGJYEXA,$$,4.5,546,Himalayan/Nepalese,False,3486 Mission St
Purplekow,3620 Balboa St,Purple Kow,wBvDeIMjm_bq7dfyyusAwg,$,3.5,2344,Coffee & Tea,False,3620 Balboa St
D'maize Cafe,11 Phelan Ave,D’Maize,5c_mlYDTeFdH72MZALSvVw,$,4.5,56,Breakfast & Brunch,False,2778 24th St
Fillmore Street Creamery,1840 Fillmore St,Salt & Straw,_5Dzuo9r5vaXsqy8P9AlOQ,$$,4.5,941,Ice Cream & Frozen Yogurt,False,2201 Fillmore St
Black Sugar,320 O'farell St. St,Black Sugar,F4YgPOvuCClXTwB9PJk8Qg,No record in Yelp,4.5,669,Tea Rooms,False,320 O'Farrell St
Double Decker,2956 24th St,Double Decker,xF_rXBt1ZrE0nO-fKoVHqQ,$,3.5,44,Chicken Wings,False,2956 24th St
"Obour Foods, Llc",351 20th Ave,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Fire 2 Smoke,1954 48th Ave,Fire 2 Smoke,MR4z0I4RgoLMCk3WS2UGQg,No record in Yelp,5.0,2,Food Trucks,False,"San Francisco, CA 94124"
What The Cluck,1782 Haight St,What The Cluck,x9KuQxYGSbPBqkTh77NGHA,$$,4.5,152,Thai,False,1782 Haight St
"Good Time Diner, Llc",717 Monterey Blvd,Farm : Table,TcbKvh-e1lxywJuN6in5JQ,$$,4.0,1773,Coffee & Tea,False,754 Post St
Golden Harbor Seafood Restaurant,939 Clement St,Golden Sand Harbor,4eQ1hiS58Kt3OEzoi8ETHg,$$,3.0,449,Dim Sum,False,7745 Amador Valley Blvd
Bon Appetit @ Airbnb,650 7th St,Bi-Rite Market,H3LVKSUbbUFqlTuxDKerAg,$$$,4.5,926,Specialty Food,False,3639 18th St
Bon Appetit @ Usf - Gleeson Library,2130 Fulton St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Raavi Eatery,1063 Market St,Chanvi Eatery,5ZpwZiSh2jVSjyO54LsMiw,$,4.5,234,Indian,False,1063 Market St
The Boardroom,1600 Powell St,The Boardroom,mi8ADETT7WJfssSTld7OmA,$$,4.0,425,Sports Bars,False,1600 Powell St
"Out The Dough, Llc",28 Trinity Pl,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
