DBA Name,Street Address,Yelp Name,Price Level,Rating,Review Count,Top Yelp Category,Is Closed,Yelp Address,Zipcode,Supervisor District,Neighborhood,Business Start Date,Business End Date,Location Start Date,Location End Date,Yelp ID
Little Kite,3515 20th St,Little Kite,$$,3.5,49,Japanese,TRUE,3515 20th St,94110.0,,,8/10/17,12/31/18,8/10/17,12/31/18,5vSccOaQTqnHtk-gMaTf1w
Little Kite,3515 20th St,Little Kite,$$,3.5,49,Japanese,TRUE,3515 20th St,94110.0,,,10/1/16,7/31/17,7/25/17,8/10/17,5vSccOaQTqnHtk-gMaTf1w
Little Kite,3515 20th St,Little Kite,$$,3.5,49,Japanese,TRUE,3515 20th St,94110.0,,,10/10/18,,12/31/18,,5vSccOaQTqnHtk-gMaTf1w
Sultan's Kebab,3915 24th St,Sultan's Kebab,$$,3.5,92,Mediterranean,FALSE,3915 24th St,94114.0,,,2/20/18,3/31/19,2/20/18,3/31/19,fP-g6sjD42R7FCH8jESG_A
Turk & Larkin Deli,476 Turk St,Turk & Larkin Deli,$,4.5,107,Delis,TRUE,476 Turk St,94102.0,6.0,Tenderloin,4/28/79,9/30/18,4/28/79,9/30/18,b1Y_BNGcGuH07N3GV9bPHg
Cha Cha Cha Restaurant,1801 Haight St,Cha Cha Cha,$$,4,3212,Caribbean,FALSE,1801 Haight St,94117.0,5.0,Haight Ashbury,5/19/83,6/30/17,5/19/83,6/30/17,kOYj2sGMZnyC1lU-_Uw5fA
Daily Health,1235 9th Ave,Daily Health Food Center,$$,4,89,Health Markets,TRUE,1235 9th Ave,94122.0,5.0,Inner Sunset,4/22/93,12/30/18,4/22/93,12/30/18,jSvO1fZzAh0X9q2zxtSZQQ
Grasslands,905 Kearny St,Grasslands Bar & Lounge,$,3.5,81,Bars,FALSE,905 Kearny St,94133.0,3.0,Chinatown,3/9/11,12/31/17,3/9/11,12/31/17,BcADcyvlFTIjeVG7R70RKA
Cheese Steak Shop The,1716 Divisadero St,The Cheese Steak Shop,$$,4,912,Sandwiches,FALSE,1716 Divisadero St,94115.0,2.0,Pacific Heights,1/1/87,3/26/18,1/1/87,3/26/18,RJjuozKTsgwPNa429tnxbg
Bills Place,2315 Clement St,Bill's Place,$$,3.5,738,Burgers,FALSE,2315 Clement St,94121.0,1.0,Outer Richmond,11/13/87,3/17/16,11/13/87,3/17/16,Gi15y5zxXg5yzcb-YqYg2Q
Connecticut Yankee,100 Connecticut St,Connecticut Yankee,$$,3.5,499,Sports Bars,FALSE,100 Connecticut St,94107.0,10.0,Potrero Hill,12/15/88,10/16/15,12/25/11,10/16/15,CP2uHH8PQ-Wg3i5C8-Lidg
Connecticut Yankee,100 Connecticut St,Connecticut Yankee,$$,3.5,499,Sports Bars,FALSE,100 Connecticut St,94107.0,,,10/17/15,,10/17/15,,CP2uHH8PQ-Wg3i5C8-Lidg
Eddies Cafe,800 Divisadero St,Eddie's Cafe,$,4,626,Breakfast & Brunch,FALSE,800 Divisadero St,94117.0,5.0,Western Addition,11/30/88,2/28/19,11/30/88,2/28/19,V6JS0EaR0Gq_SSDllaOqKw
Jj Ice Cream,1152 Irving St,Let's Roll Ice Creamery,$,4,275,Ice Cream & Frozen Yogurt,FALSE,1152 Irving St,94122.0,5.0,Inner Sunset,1/1/89,10/10/16,6/1/06,10/10/16,ow9SMnRPPyYKva4KGthwrQ
Om Indian Cuisine,1668 Haight St,Om Indian Cuisine,$$,4,290,Indian,FALSE,1668 Haight St,94117.0,,,6/28/16,2/16/17,6/28/16,2/16/17,ZvIpOP6cWfZWHLKdNAvfOg
Om Indian Cuisine,1668 Haight St,Om Indian Cuisine,$$,4,290,Indian,FALSE,1668 Haight St,94117.0,,,2/1/17,,2/1/17,,ZvIpOP6cWfZWHLKdNAvfOg
Babys Eatery & Palabok,4609 Mission St,Baby's Eatery and Palabok,$,4,86,Filipino,FALSE,4609 Mission St,94112.0,11.0,Excelsior,2/17/95,12/28/17,2/17/95,12/29/17,NLc5sKgqHcH95qMoCGikJg
Garibaldis On Presidio,347 Presidio Ave,Garibaldi's,$$$,4,536,American (New),FALSE,347 Presidio Ave,94115.0,,,11/15/90,4/17/16,11/15/90,4/17/16,p6bLw7PS63Kbge_wyIOP8w
Garibaldis On Presidio,347 Presidio Ave,Garibaldi's,$$$,4,536,American (New),FALSE,347 Presidio Ave,94115.0,2.0,Presidio Heights,4/18/16,,4/18/16,,p6bLw7PS63Kbge_wyIOP8w
Golden Coffee,901 Sutter St,Golden Coffee Shop,$,4,480,Breakfast & Brunch,FALSE,901 Sutter St,94109.0,3.0,Nob Hill,1/1/90,1/24/18,7/7/95,1/24/18,rBwyayyqFMD8chqenrRxag
