DBA Name,Street Address,Yelp Name,Yelp ID,Price Level,Rating,Review Count,Categories,Is Closed,Yelp Address
Little Kite,3515 20th St,Little Kite,5vSccOaQTqnHtk-gMaTf1w,$$,3.5,49,Japanese,TRUE,3515 20th St
Chase Luck Bakery,1325 Ocean Ave,Pacificana,soidt7z5ZnIxO6nBx2F2UQ,$$,3.5,335,Dim Sum,FALSE,813 55th St
Communion Juice,103 Horne Ave Bldg,Humphry Slocombe Ice Cream,47OC_X6KkiDDQ4jwoCUjFg,$,4,3359,Ice Cream & Frozen Yogurt,FALSE,2790A Harrison St
One +,166 Prague St,One Waan,W_2rcLj-vDAa7tUixhz0eQ,$$,4,228,Thai,FALSE,2922 Diamond St
Sultan's Kebab,3915 24th St,Sultan's Kebab,fP-g6sjD42R7FCH8jESG_A,$$,3.5,92,Mediterranean,FALSE,3915 24th St
T Bear Cafe,57 Walter U Lum Pl,Caffe Trieste,j9EVcmunMUIFut_EpsYrog,$,4,681,Cafes,FALSE,601 Vallejo St
Flip Dough,1450 Cayuga Ave,Little Joe's Pizzeria,tpKQsdpEQWEW4mzkKRUCEg,$$,3.5,274,Italian,FALSE,5006 Mission St
Brotzeit,1223 Kearny St Apt 1,Brotzeit Lokal,5Yum0s_u1lorpsRRVIsa7w,$$,3.5,525,German,FALSE,1000 Embarcadero
Candi Me,3520 20th St Ste 1,Candi Me,rjFY9ZOhlt1Cdo3U7x2nmQ,$$,5,17,Candy Stores,TRUE,3520 20th St
Sb40,40 Pier The Embarcadero,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Sb40/carmens,40 Pier The Embarcadero,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Kentucky Fried Chicken,1900 Irving St,KFC,TPSsOoSGQev7xUuGPkzJjg,$,2.5,80,Fast Food,FALSE,4150 Geary Blvd
Lucca Ravioli Co Inc,1100 Valencia St,Rainbow Grocery,5NvXIkNdCCqUb235WVfMJg,$$,4,1600,Grocery,FALSE,1745 Folsom St
Pompeis Grotto,340 Jefferson St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Sams,618 Broadway St,Sam's Hofbrau,LOWXukQT7GiKxpCrpQ562A,$$,3.5,290,Strip Clubs,FALSE,1751 E Olympic Blvd
Tarantinos Inc,206 Jefferson St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Aedan,3617 Wawona St,Aedan Fermented Foods,WNwF7FX55qTj_Hrxixb9xQ,No record in Yelp,5,5,Farmers Market,FALSE,1 Ferry Bldg
Aedan,1 Ferry Bldg  50,Aedan Fermented Foods,WNwF7FX55qTj_Hrxixb9xQ,No record in Yelp,5,5,Farmers Market,FALSE,1 Ferry Bldg
3300 Club,3300 Mission St,Outer Orbit,HY0nszHyRTgGRLX0FI0AqA,$$,4.5,76,Arcades,FALSE,3215 Mission St
Lion Pub The,2062 Divisadero St,The Fishbowl Bar & Grill,qMoaAv2WUAybwx-bOxCc5w,$,3.5,259,Pubs,FALSE,1854 Divisadero St
